point,label,direction,bytes,GB,time_s,GBps,operations,size_p50_MiB,size_p95_MiB,n,host_reuse_tokens
random_2k_q1,随机2K,GPU→CPU,7870537728,7.870537728,6.212542371591553,1.2668787200534932,198,37.86328125,38.390625,100,0
random_2k_q1,随机2K,CPU→GPU,0,0.0,0,,0,,,100,0
prefix_2k_q1,共享2K,GPU→CPU,4370780160,4.37078016,3.9962217531283386,1.0937281337249236,110,37.916015625,38.448632812499994,100,16251
prefix_2k_q1,共享2K,CPU→GPU,599076864,0.599076864,0.2790488729951903,2.146852834665724,504,1.056640625,2.11328125,100,16251
pressure_4k_q1,压力4K,GPU→CPU,13034668032,13.034668032,13.779160574951675,0.9459696736312774,328,37.93359375,38.21484375,128,146470
pressure_4k_q1,压力4K,CPU→GPU,5399470080,5.39947008,4.407681320386473,1.2250137175358595,1620,2.1162109375,6.306640625,128,146470
prefix_2k_q025,2K/QPS0.25,GPU→CPU,4370780160,4.37078016,4.102103186014574,1.0654973709343623,110,37.916015625,38.448632812499994,100,16251
prefix_2k_q025,2K/QPS0.25,CPU→GPU,599076864,0.599076864,0.282725339056924,2.118935876063736,504,1.056640625,2.11328125,100,16251
prefix_2k_q05,2K/QPS0.5,GPU→CPU,4370780160,4.37078016,3.750911997864023,1.1652579859215477,110,37.916015625,38.448632812499994,100,16251
prefix_2k_q05,2K/QPS0.5,CPU→GPU,599076864,0.599076864,0.28518996777711436,2.100623905775672,504,1.056640625,2.11328125,100,16251
prefix_1k_q1,共享1K,GPU→CPU,2183049216,2.183049216,0.7639046692638658,2.857750847502593,103,18.94921875,37.63125,100,531
prefix_1k_q1,共享1K,CPU→GPU,19574784,0.019574784,0.007822963932994753,2.5022209187798805,36,0.5185546875,0.5185546875,100,531
prefix_4k_q1,共享4K,GPU→CPU,8551526400,8.5515264,9.535395867016632,0.8968192321810277,215,37.96875,38.3203125,100,82132
prefix_4k_q1,共享4K,CPU→GPU,3027714048,3.027714048,2.9186037823092192,1.037384404951484,1080,2.1123046875,4.2568359375,100,82132
