baseline,point,mode,target_isl,qps,concurrency,seed,requested,completed,duration_s,actual_isl_mean,output_tokens,prompt_tokens,cached_tokens,cache_hit_ratio,request_throughput,output_token_throughput,logical_token_throughput,host_reuse_tokens,evicted_tokens,input_sha256,source,ttft_ms_mean,ttft_ms_p50,ttft_ms_p95,ttft_ms_p99,e2e_ms_mean,e2e_ms_p50,e2e_ms_p95,e2e_ms_p99,offered_ttft_ms_mean,offered_ttft_ms_p50,offered_ttft_ms_p95,offered_ttft_ms_p99,offered_e2e_ms_mean,offered_e2e_ms_p50,offered_e2e_ms_p95,offered_e2e_ms_p99,client_wait_ms_mean,client_wait_ms_p50,client_wait_ms_p95,client_wait_ms_p99,decode_window_ms_mean,decode_window_ms_p50,decode_window_ms_p95,decode_window_ms_p99,itl_ms_mean,itl_ms_p50,itl_ms_p95,itl_ms_p99,batch_prefill_cuda_ms_mean,batch_prefill_cuda_ms_p50,batch_prefill_cuda_ms_p95,batch_prefill_cuda_ms_p99,batch_prefill_cuda_total_s,batch_decode_cuda_ms_mean,batch_decode_cuda_ms_p50,batch_decode_cuda_ms_p95,batch_decode_cuda_ms_p99,batch_decode_cuda_total_s,computed_prompt_tokens,cached_compute_accounting_difference,gpu_reuse_tokens,gpu_reuse_ratio_of_prompt,host_reuse_ratio_of_prompt,external_query_tokens,evicted_tokens_per_s,physical_token_throughput,prefill_token_throughput,gpu_kv_usage_peak,gpu_kv_usage_batch_sample_mean,host_kv_usage_peak,host_kv_usage_batch_sample_mean,gpu_to_cpu_bytes,gpu_to_cpu_operations,gpu_to_cpu_host_call_s,gpu_to_cpu_GBps_by_host_call_s,gpu_to_cpu_cuda_elapsed_s,gpu_to_cpu_GBps_by_cuda_elapsed_s,gpu_to_cpu_size_bytes_mean,gpu_to_cpu_size_bytes_p50,gpu_to_cpu_size_bytes_p95,gpu_to_cpu_size_bytes_p99,cpu_to_gpu_bytes,cpu_to_gpu_operations,cpu_to_gpu_host_call_s,cpu_to_gpu_GBps_by_host_call_s,cpu_to_gpu_cuda_elapsed_s,cpu_to_gpu_GBps_by_cuda_elapsed_s,cpu_to_gpu_size_bytes_mean,cpu_to_gpu_size_bytes_p50,cpu_to_gpu_size_bytes_p95,cpu_to_gpu_size_bytes_p99,host_transfer_accounting_difference_bytes,peak_output_tokens_per_1s,gpu_uuid,gpu_index,parallel_timing_phase
S0,prefix_1k_q1,prefix_repetition,1024,1,4,42,100,100,447.0018921990413,1074.95,12800,107495,0,0.0,0.22371269953253783,28.635225540164843,269.11519190266637,0,0,965f2a0b731a28d9ec5470d4ca4f00da6612175f90bd85982b4625a7f9611c5f,runs/submission/S0/20260910T081117.352859Z/prefix_1k_q1,496.00933507143054,502.38945297314785,535.7708499708679,543.9053433208028,17830.745389051153,18362.620273488574,20270.27120407147,20304.962788014673,152041.6907634815,139716.1524293765,307104.70232745877,322970.86727930885,169376.60508651953,157605.72123149355,326861.4066762881,342397.6289194229,151544.77527520852,139241.04134200024,306589.5148306503,322425.5964729225,17334.681851281202,17875.399268988986,19762.381268534227,19790.222679500584,136.49355788410395,150.2722695004195,153.16977355396375,158.6470747907879,396.973094353309,413.5854034423828,430.6144744873047,437.76294097900393,20.64260090637207,132.19703868320332,117.44461059570312,152.27801513671875,153.89987426757816,424.2202971343994,107495,0,0,0.0,0.0,,0.0,269.11519190266637,5207.434881271083,0.16845703125,0.15709211242785406,0,,0,0,0,,0,,,,,,0,0,0,,0,,,,,,0,38,GPU-0b76d21b-4a19-a7fb-34cd-15d0f4b4612f,0,after_dispatch
S0,prefix_2k_q025,prefix_repetition,2048,0.25,4,42,100,100,438.7159331619623,2159.72,12800,215972,0,0.0,0.2279379262094925,29.17605455481504,521.4581525479801,0,0,a9d1cbe95d4b3fd8c0e8886bd7e40568a3cf9a16abd401ab77de339bc1309f1b,runs/submission/S0/20260910T081117.352859Z/prefix_2k_q025,873.8548553208238,1043.4295055019902,1162.138175246946,1168.6184754635906,16077.680875672086,16687.185400514863,16983.510819902585,17087.838476019388,11949.37302676114,12544.795696729605,25670.523394281274,28717.525556965287,27153.379206019323,28462.513844735768,41379.194259596115,44625.294938768246,11074.707433881413,11844.80558350333,24566.217243798015,27640.339823374525,15203.772058619652,15604.687391998596,16161.522622451594,16343.049892267154,119.71474061905238,114.69845499959774,117.17983359121718,627.7681245899297,638.3314977575232,530.4934692382812,1046.813720703125,1064.1525146484375,51.704851318359374,105.3700643199764,113.91436767578125,115.89903335571289,118.12769882202149,384.6007347679138,215972,0,0,0.0,0.0,,0.0,521.4581525479801,4177.016169531322,0.3175571986607143,0.26987082393053374,0,,0,0,0,,0,,,,,,0,0,0,,0,,,,,,0,38,GPU-0b76d21b-4a19-a7fb-34cd-15d0f4b4612f,0,crosses_dispatch
S0,prefix_2k_q05,prefix_repetition,2048,0.5,4,42,100,100,417.77009185700445,2159.72,12800,215972,0,0.0,0.239366105782001,30.638861540096126,547.6026275195993,0,0,a9d1cbe95d4b3fd8c0e8886bd7e40568a3cf9a16abd401ab77de339bc1309f1b,runs/submission/S0/20260910T081117.352859Z/prefix_2k_q05,1085.3053691517562,1112.4251849832945,1136.6531115199905,1141.201765880105,16627.398615749553,16691.346580017125,16914.712765617878,16976.857792946394,105561.99606503193,108572.45249828193,186544.33377423993,194129.77775962467,121104.27038016896,124139.63533982175,201895.5982721473,208571.62986784664,104475.81742438953,107457.7315999777,185459.37835685327,193014.40792687237,15542.040379616665,15582.745661988156,15806.78325779445,15874.11547441443,122.37827070564303,114.92994250147603,117.46323089464566,130.69422948930878,982.6015267005333,1032.700927734375,1057.5879638671875,1060.8853906250001,51.095279388427734,113.31739363642187,114.20365142822266,116.40709228515625,118.5364389038086,364.54205532836914,215972,0,0,0.0,0.0,,0.0,547.6026275195993,4226.848401359642,0.3197544642857143,0.3060287424240976,0,,0,0,0,,0,,,,,,0,0,0,,0,,,,,,0,38,GPU-0b76d21b-4a19-a7fb-34cd-15d0f4b4612f,0,after_dispatch
S0,prefix_2k_q1,prefix_repetition,2048,1,4,42,100,100,415.4852929720073,2159.72,12800,215972,0,0.0,0.24068240607192165,30.80734797720597,550.6139540188566,0,0,a9d1cbe95d4b3fd8c0e8886bd7e40568a3cf9a16abd401ab77de339bc1309f1b,runs/submission/S0/20260910T081117.352859Z/prefix_2k_q1,1088.0113686417462,1112.591072509531,1134.8008243294316,1142.4392853712197,16586.124392001948,16598.92029549519,16726.02234630176,16756.82303978945,152630.08805207183,153866.93602089508,284185.08109695197,296339.4185071571,168128.37706717398,169302.3602313944,299668.23223966075,310952.12034748826,151541.12765079684,152752.10853900353,283099.7025880948,295226.7192981919,15498.05536728265,15492.621437981143,15626.77279599593,16109.274576753962,122.03193202584764,114.17504400014877,115.61645480542211,121.20462121500178,983.1069200955905,1033.1581420898438,1055.4025939941407,1060.7077209472657,51.121559844970704,113.09883712158585,113.51705551147461,114.63459701538086,117.03584930419922,362.14247646331785,215972,0,0,0.0,0.0,,0.0,550.6139540188566,4224.675472637151,0.32080078125,0.3074388034266891,0,,0,0,0,,0,,,,,,0,0,0,,0,,,,,,0,38,GPU-0b76d21b-4a19-a7fb-34cd-15d0f4b4612f,0,before_dispatch
S0,prefix_4k_q1,prefix_repetition,4096,1,4,42,100,100,580.3613168899901,4319.36,12800,431936,0,0.0,0.17230645304872277,22.055225990236515,766.3088270307677,0,0,a1bdbc7865d384c48fddfee44c379339e583e71e5385adbd8d098468e20ec371,runs/submission/S0/20260910T081117.352859Z/prefix_4k_q1,4981.903238286031,6097.197482507909,6281.725196150364,6286.167832222418,23185.064839527477,21986.792325478746,25732.698698475724,25766.196908451384,245486.59589903613,253831.91853838664,441167.3098038984,460017.1387504081,263689.93462379643,270047.8285715394,459495.0982128417,476064.6477643996,240503.65000144579,248160.58005197556,437735.5428442883,454203.75667492335,18203.101629021694,19288.360542006558,23908.611694682622,24101.28315865004,143.3315088899346,124.32489849743433,153.94402332021855,157.14800126035698,3056.587648925781,2993.47412109375,4672.398022460938,4693.103061523438,152.82938244628906,133.60380559485728,123.66950225830078,153.0504165649414,156.25134155273437,424.19208276367186,431936,0,0,0.0,0.0,,0.0,766.3088270307677,2826.262810764162,0.622802734375,0.6078756034572259,0,,0,0,0,,0,,,,,,0,0,0,,0,,,,,,0,36,GPU-0b76d21b-4a19-a7fb-34cd-15d0f4b4612f,0,after_dispatch
S0,pressure_4k_q1,prefix_repetition,4096,1,4,42,128,128,702.231050819013,4310.9375,16384,551800,0,0.0,0.18227618936917334,23.331352239254187,809.1126123479248,0,0,42e21da4131ae4b34ba3aa98e2f5db2b6c86ee1b55edba1fbf5a083126a530b3,runs/submission/S0/20260910T081117.352859Z/pressure_4k_q1,4976.442832100929,6111.933786000009,6250.919137751043,6289.465585646394,21921.167112523108,21940.324296505423,22098.709397502535,22101.532230281155,280023.2680852069,280063.0002874019,531497.4790881241,548808.4705516514,296968.16589258605,298680.6232046404,548168.919909728,564885.8743912957,275045.7008420242,276674.767029981,526349.2671116634,542920.574821684,16944.667866398504,15824.382268503541,20476.60038189788,20509.33125449461,133.42258162518507,124.2896654875949,125.62574198818766,129.6496894574375,3052.27982711792,3002.9472045898438,4670.845263671875,4690.003759765625,195.34590893554687,123.74156752909262,123.69920349121094,124.83466262817383,125.95394531250001,502.88573043823243,551800,0,0,0.0,0.0,,0.0,809.1126123479248,2824.732818858586,0.6221749441964286,0.6067068325984781,0,,0,0,0,,0,,,,,,0,0,0,,0,,,,,,0,36,GPU-0b76d21b-4a19-a7fb-34cd-15d0f4b4612f,0,before_dispatch
S0,random_2k_q1,random,2048,1,4,42,100,100,449.23151099000825,2156.7,12800,215670,0,0.0,0.2226023721702465,28.493103637791553,508.5796396973622,0,0,03796991652490a33fef09be05f7046eeefe42b1d6f38a598022dd9880c942e3,runs/submission/S0/20260910T081117.352859Z/random_2k_q1,1100.275167079817,1115.837740508141,1158.219805137196,1178.2455356509308,17935.99201138917,16723.260746497544,21398.14573522308,21446.974947281124,173718.00369005988,187088.29025890105,317536.090955494,329903.8295045147,190553.9099387056,202483.23976439424,333229.5435959999,344694.68682318187,172616.78763639822,185991.4598835021,316517.8780414484,328788.69703610137,16835.659804620373,15637.457327509765,20243.378581006255,20297.466224314703,132.56425043008167,115.1847785076825,151.70592634822242,159.04267462610736,988.5353205754207,1035.8635864257812,1053.4062438964843,1066.3277075195313,51.40383666992187,123.60594466028923,114.56768035888672,150.80949859619142,154.4465705871581,395.7862348022461,215670,0,0,0.0,0.0,,0.0,508.5796396973622,4195.601223015243,0.32167271205357145,0.30702147708658023,0,,0,0,0,,0,,,,,,0,0,0,,0,,,,,,0,38,GPU-0b76d21b-4a19-a7fb-34cd-15d0f4b4612f,0,before_dispatch
S1,prefix_1k_q1,prefix_repetition,1024,1,4,42,100,100,421.63067554001464,1074.95,12800,107495,46680,0.43425275594213686,0.23717439408772228,30.358322443228452,285.30893736782554,0,44344,965f2a0b731a28d9ec5470d4ca4f00da6612175f90bd85982b4625a7f9611c5f,runs/submission/S1/20260910T084102.461066Z/prefix_1k_q1,414.1244586830726,405.45192747958936,490.64936423965264,530.1903707697056,16821.274459335255,15195.356879004976,19944.110095719225,20064.34293541941,163561.37643081314,177620.50537849456,292418.047266395,302834.60749466537,179968.69945375857,194568.66020590242,306874.9699906827,317029.0375111404,163146.3678491948,177190.09146397002,292033.31033878203,302432.33552918595,16407.098520515137,14792.982512502931,19506.671170546906,19613.687717976863,129.18975213004046,113.80398299661465,151.68035349342972,156.18439569603655,321.5728231576773,322.77247619628906,389.3882812499999,420.0523196411133,16.72178680419922,125.52590624511186,113.11820983886719,150.91917419433594,152.01816467285155,402.81263314056395,60815,0,46680,0.43425275594213686,0.0,,105.17261331425956,174.59593020767676,3636.8721065578934,1.0,0.8358523443660467,0,,0,0,0,,0,,,,,,0,0,0,,0,,,,,,0,38,GPU-e0793c56-a140-f368-abb5-9d265981da85,1,after_dispatch
S1,prefix_2k_q025,prefix_repetition,2048,0.25,4,42,100,100,437.0741184609942,2159.72,12800,215972,80086,0.37081658733539535,0.22879414675047682,29.285650784061033,523.4169454040008,0,120686,a9d1cbe95d4b3fd8c0e8886bd7e40568a3cf9a16abd401ab77de339bc1309f1b,runs/submission/S1/20260910T084102.461066Z/prefix_2k_q025,772.4527511693304,843.9454055042006,1139.9978190398542,1416.4686000539227,15159.923614169238,15988.29364098492,16295.993622267268,16359.169259137707,7850.572014659647,7942.944635044596,19351.64101620283,24737.13184569685,22238.222692822324,22630.56475779279,34847.345175113725,39847.63113599566,7077.225544421235,6895.334298023954,18795.32173156913,23752.867178919845,14387.415497949696,15077.438004023861,15588.69105988124,15768.389665387806,113.28673620432832,111.7094854998868,114.08026677672751,545.4198257648386,543.3911746840879,449.7254333496094,904.4279052734373,978.2067150878898,45.1014674987793,97.78666312001045,110.68006134033203,112.73113250732422,114.98348419189453,386.9418259658813,135886,0,80086,0.37081658733539535,0.0,,276.12250394728045,340.18486503741394,3012.895312190847,1.0,0.9222335793847242,0,,0,0,0,,0,,,,,,0,0,0,,0,,,,,,0,40,GPU-e0793c56-a140-f368-abb5-9d265981da85,1,after_dispatch
S1,prefix_2k_q05,prefix_repetition,2048,0.5,4,42,100,100,407.4731240249821,2159.72,12800,215972,80080,0.3707888059563277,0.2454149589357187,31.413114743771995,561.4407098564224,0,119616,a9d1cbe95d4b3fd8c0e8886bd7e40568a3cf9a16abd401ab77de339bc1309f1b,runs/submission/S1/20260910T084102.461066Z/prefix_2k_q05,957.0003521989565,953.7224729720037,1079.552381459507,1135.4771119204815,16214.226382042398,16228.468386514578,16592.77351370838,16626.1157682637,100272.21579852911,103143.0346352531,176688.8599345307,184010.1503965692,115529.62357948179,118333.3543492831,191863.0814951965,198274.1647999141,99314.35897148855,102204.58787152893,175691.2455729791,182982.17769600276,15257.169481882593,15268.878430011682,15583.334664430004,15636.776057302486,120.13519277072908,113.53958048857749,116.32701346534304,123.94291553180665,857.8399323683518,869.338623046875,999.3542205810547,1054.8932604980469,44.6076764831543,112.07250895242353,112.90777587890625,115.32047576904296,117.20771362304687,360.6493338088989,135892,0,80080,0.3707888059563277,0.0,,293.5555572805493,364.9124107406989,3046.3814911166337,1.0,0.901144453176196,0,,0,0,0,,0,,,,,,0,0,0,,0,,,,,,0,38,GPU-e0793c56-a140-f368-abb5-9d265981da85,1,after_dispatch
